YEAR,PRECTOT,WS2M,T2MDEW,RH2M,T2M_MAX,T2M_MIN,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_SW_DWN,TS
2019,0.0,1.25,16.34,75.28,31.04,11.25,20.8,33.94,22.99,20.54
2019,0.0,1.59,18.91,72.56,32.55,16.27,24.04,34.14,23.16,23.54
2019,34.0,1.29,18.52,88.45,23.27,15.88,20.5,34.34,1.21,20.37
2019,42.68,2.46,14.63,89.93,19.36,13.79,16.3,34.54,3.13,16.28
2019,18.73,1.03,18.49,89.07,26.6,15.3,20.35,34.74,8.76,20.44
2019,6.6,1.18,16.39,88.46,22.05,14.83,18.34,34.94,4.27,18.44
2019,0.2,1.32,12.99,86.5,18.5,12.74,15.23,35.13,9.56,15.36
2019,0.01,0.71,12.9,69.44,25.16,11.21,18.51,35.33,24.27,17.64
2019,0.01,0.64,12.94,64.48,25.85,14.41,19.73,35.52,25.2,18.11
2019,0.0,0.79,15.34,74.69,27.64,12.51,19.89,35.71,24.93,19.77
2019,0.0,0.83,16.86,72.36,30.26,13.66,21.97,35.9,23.87,21.71
2019,0.0,1.1,18.94,69.03,33.29,16.4,24.89,36.08,24.71,24.46
2019,0.0,1.3,21.68,76.47,33.98,19.19,26.06,36.26,23.86,25.77
2019,3.85,1.63,20.67,80.42,32.33,16.69,24.2,36.45,19.93,24.1
2019,29.95,3.3,12.38,87.91,17.85,11.06,14.37,36.62,3.24,14.39
2019,15.5,2.62,12.49,86.12,19.39,10.74,14.79,36.8,12.61,14.91
2019,25.14,1.43,16.11,91.14,21.86,13.71,17.59,36.98,4.29,17.72
2019,27.03,0.81,18.83,92.89,25.24,16.37,20.03,37.15,5.91,20.05
2019,0.72,1.04,17.11,81.71,26.25,16.0,20.31,37.32,17.55,20.59
2019,0.02,1.24,12.26,73.87,22.31,12.91,16.88,37.48,27.0,17.07
2019,7.95,1.83,11.84,80.54,20.62,10.6,15.13,37.65,13.13,15.26
2019,5.2,1.31,12.9,89.11,17.92,11.76,14.69,37.81,11.93,14.77
2019,0.24,0.81,12.0,76.99,22.51,9.98,15.98,37.97,25.7,16.19
2019,0.02,0.74,12.3,71.46,23.88,11.04,17.43,38.13,26.58,16.89
2019,0.0,0.94,12.89,71.92,25.42,11.48,17.95,38.28,27.54,17.66
2019,0.0,0.98,11.74,70.67,24.75,9.22,17.03,38.44,27.47,17.01
2019,0.65,1.22,16.33,78.43,28.73,10.22,20.14,38.59,27.52,20.14
2019,56.55,1.11,19.5,95.72,23.03,18.24,20.22,38.73,3.63,20.12
2019,7.33,0.99,21.9,86.1,30.84,18.33,24.36,38.89,24.34,24.31
2019,46.15,1.26,22.46,87.09,30.41,21.67,24.74,39.06,1.5,24.71
2019,23.8,1.4,23.61,88.46,31.83,21.34,25.66,39.23,3.46,25.4
2019,25.26,2.23,18.07,89.16,23.71,16.43,19.92,39.4,5.48,19.88
2019,0.16,1.68,19.52,84.88,29.0,15.95,22.17,39.56,27.53,22.39
2019,2.39,0.95,22.07,87.58,29.93,19.17,24.26,39.72,13.55,24.22
2019,1.71,1.04,19.02,92.6,21.73,17.1,20.27,39.88,3.15,20.15
2019,43.64,0.82,20.55,92.8,26.79,16.5,21.78,40.03,3.49,21.84
2019,3.0,1.51,18.48,83.1,25.69,15.3,21.44,40.19,16.05,21.49
2019,0.32,1.44,13.66,75.06,25.19,10.76,18.09,40.33,29.83,18.24
2019,24.98,1.05,17.07,79.07,27.48,14.92,20.78,40.48,11.51,20.33
2019,0.08,1.27,17.14,77.28,27.71,14.87,21.21,40.62,29.72,20.71
2019,11.26,1.0,20.06,85.22,29.13,15.94,22.66,40.76,12.73,22.83
2019,0.42,1.65,18.76,82.15,27.24,17.63,21.91,40.9,24.52,22.12
2019,0.02,2.28,17.08,80.5,25.78,16.65,20.51,41.03,21.9,20.7
2019,0.0,1.1,19.11,79.98,29.38,15.91,22.7,41.16,25.65,22.9
2019,28.58,0.9,20.54,88.91,25.56,19.83,22.47,41.29,9.45,22.38
2019,4.07,1.12,19.56,81.37,27.86,19.41,22.87,41.41,18.99,22.96
2019,0.12,0.97,15.06,73.56,25.05,14.65,19.85,41.53,30.35,20.07
2019,0.0,0.93,13.75,73.01,25.65,11.66,18.61,41.65,31.06,18.78
2019,0.01,1.2,14.48,71.96,27.08,11.73,19.59,41.76,30.02,19.54
2019,0.0,1.11,17.44,76.7,30.01,12.89,21.64,41.87,28.4,21.68
2019,0.0,0.94,18.84,75.82,31.15,15.63,23.27,41.98,25.77,23.4
2019,0.0,0.82,19.72,74.63,32.68,16.41,24.43,42.09,29.29,24.58
2019,1.29,0.59,21.19,74.36,32.94,18.27,26.0,42.19,26.39,25.97
2019,17.87,1.14,21.95,81.22,32.35,20.01,25.35,42.28,12.32,25.3
2019,2.0,2.13,15.23,77.5,23.94,12.97,19.2,42.38,22.75,19.39
2019,0.0,1.88,12.53,72.83,24.41,10.9,17.38,42.47,31.7,17.54
2019,0.14,1.73,16.86,78.73,28.97,12.0,20.64,42.56,29.23,20.83
2019,19.71,1.28,19.93,88.48,26.4,17.63,21.92,42.65,4.45,21.87
2019,0.37,1.47,17.84,81.04,26.79,15.19,21.18,42.73,18.44,21.33
2019,0.0,1.08,13.02,69.68,25.47,11.67,18.58,42.81,32.18,18.72
2019,0.0,0.98,16.65,69.83,30.1,12.01,22.33,42.89,29.74,21.65
2019,2.14,0.69,19.64,71.41,31.26,18.97,25.07,42.96,6.27,24.37
2019,0.33,1.12,16.41,72.66,27.41,14.3,21.44,43.03,31.3,21.58
2019,0.0,0.87,10.89,66.81,23.18,10.56,17.01,43.1,30.35,17.28
2019,0.0,1.31,13.21,68.59,26.88,10.94,19.02,43.16,31.64,19.12
2019,1.06,0.73,16.69,71.52,30.49,12.96,21.98,43.23,20.41,22.22
2019,0.44,1.33,13.9,72.59,24.34,13.42,18.85,43.29,30.12,19.05
2019,0.0,0.89,12.07,61.06,26.09,11.71,19.69,43.34,32.55,18.82
2019,0.0,0.94,14.19,66.1,27.54,13.57,20.64,43.39,31.49,20.22
2019,0.0,0.91,15.15,66.46,29.36,12.93,21.56,43.44,31.53,21.44
2019,0.0,0.62,16.16,60.28,30.7,17.41,24.23,43.49,29.5,23.47
2019,0.0,0.8,17.35,66.02,31.75,16.74,23.97,43.53,31.41,23.95
2019,0.0,0.73,15.45,57.48,31.96,15.77,24.28,43.57,31.86,23.49
2019,0.24,1.21,19.03,72.73,30.34,18.34,24.13,43.61,13.71,23.76
2019,0.23,1.29,13.78,68.45,25.78,14.91,19.66,43.64,32.34,19.98
2019,5.24,0.98,19.15,80.16,31.74,13.3,22.69,43.67,12.29,23.0
