Annee	surface (ha)	Production (t)	Productivite (kg/ha)	Productivite (sacs/ha)
1974	25000	53000	2120	35.3
1975	25000	45000	1800	30.0
1976	28000	42000	1500	25.0
1977	30000	45000	1500	25.0
1978	20000	22000	1100	18.3
1979	17690	22500	1271	21.2
1980	18000	27000	1500	25.0
1981	24000	43200	1800	30.0
1982	22000	36960	1680	28.0
1983	9500	13167	1386	23.1
1984	18480	44352	2400	40.0
1985	17500	31500	1800	30.0
1986	19329	34848	1803	30.1
1987	22579	39718	1759	29.3
1988	22500	51300	2228	37.1
1989	22000	61500	2800	46.7
1990	19000	57000	3000	50.0
1991	20000	19200	950	15.8
1992	23882	87787	3675	61.3
1993	20000	67200	3360	56.0
1994	20000	67200	3360	56.0
1995	25000	84000	3360	56.0
1996	22737	81367	3578	59.6
1997	20000	90000	4500	75.0
1998	20000	102000	5100	85.0
1999	20000	107400	5370	89.5
2000	25000	135000	5400	90.0
2001	27000	164700	6100	101.7
2002	25000	155000	6200	103.3
2003	26000	171600	6600	110.0
2004	22400	76080	3396	56.6
2005	21000	97800	4657	77.6
2006	24000	84000	3500	58.3
2007	20000	132000	6600	110.0
2008	20000	120000	6000	100.0
2009	22000	141240	6420	107.0
2010	18000	140400	7800	130.0
2011	13500	121500	9000	150.0
2012	15500	116250	7500	125.0
2013	13000	93600	7200	120.0
2014	10500	107100	10200	170.0
2015	9000	99900	11100	185.0
2016	8000	81600	10200	170.0
2017	8000	96000	12000	200.0
2018	6500	64350	9900	165.0
