Annee	surface (ha)	Production (t)	Productivite (kg/ha)	Productivite (sacs/ha)
1974	5500	18711	3402	56.7
1975	6337	21505	3393	56.6
1976	7510	23967	3191	53.2
1977	9302	37208	4000	66.7
1978	7600	28337	3728	62.1
1979	6286	15442	2456	40.9
1980	7300	28804	3945	65.8
1981	6590	27678	4200	70.0
1982	6500	22100	3400	56.7
1983	6305	23896	3790	63.2
1984	6600	33000	5000	83.3
1985	6600	34246	5189	86.5
1986	3600	16200	4500	75.0
1987	6830	32676	4784	79.7
1988	6800	32640	4800	80.0
1989	6500	37375	5750	95.8
1990	6500	31850	4900	81.7
1991	6500	32500	5000	83.3
1992	8500	42500	5000	83.3
1993	6500	35750	5500	91.7
1994	6500	30355	4670	77.8
1995	8000	42400	5300	88.3
1996	10000	53000	5300	88.3
1997	6000	31800	5300	88.3
1998	5400	23220	4300	71.7
1999	6000	35700	5950	99.2
2000	6040	39160	6483	108.1
2001	6040	39761	6582	109.7
2002	8640	48300	5590	93.2
2003	8640	35056	4057	67.6
2004	8868	52919	5967	99.5
2005	8526	53714	6300	105.0
2006	9400	58750	6250	104.2
2007	9478	65209	6880	114.7
2008	9508	64175	6749	112.5
2009	9508	64402	6773	112.9
2010	8490	46182	5439	90.7
2011	9840	71783	7295	121.6
2012	8100	57510	7100	118.3
2013	8513	62996	7400	123.3
2014	8760	59980	6847	114.1
2015	8484	62188	7330	122.2
2016	7690	51331	6675	111.3
2017	7631	54478	7139	119.0
2018	7630	54478	7500	125.0
