Annee	surface (ha)	Production (t)	Productivite (kg/ha)	Productivite (sacs/ha)
1974	15000	19000	1200	20.0
1975	15000	18000	1200	20.0
1976	20000	24000	1200	20.0
1977	23000	34500	1500	25.0
1978	38000	36100	950	15.8
1979	42000	32400	771	12.9
1980	42000	60480	1440	24.0
1981	38000	68400	1800	30.0
1982	36000	47520	1320	22.0
1983	31970	53262	1666	27.8
1984	32000	51200	1600	26.7
1985	32000	49920	1560	26.0
1986	27500	41250	1500	25.0
1987	24000	34560	1440	24.0
1988	28000	43400	1550	25.8
1989	28000	56000	2000	33.3
1990	27450	57645	2100	35.0
1991	21000	16800	800	13.3
1992	23700	48000	2025	33.8
1993	24000	57600	2400	40.0
1994	24000	50400	2100	35.0
1995	21000	47880	2280	38.0
1996	23395	57136	2442	40.7
1997	18000	35784	1988	33.1
1998	20000	50400	2520	42.0
1999	20000	36000	1800	30.0
2000	20500	49200	2400	40.0
2001	21000	56700	2700	45.0
2002	23500	63450	2700	45.0
2003	24000	64800	2700	45.0
2004	28500	34200	1200	20.0
2005	33000	39600	1200	20.0
2006	27000	56700	2100	35.0
2007	33000	99000	3000	50.0
2008	36000	86400	2400	40.0
2009	34000	84184	2476	41.3
2010	40000	132000	3300	55.0
2011	44000	145200	3300	55.0
2012	44000	105600	2400	40.0
2013	49000	132300	2700	45.0
2014	51000	198900	3900	65.0
2015	54000	197640	3660	61.0
2016	58000	215760	3720	62.0
2017	60500	254100	4200	70.0
2018	63000	207900	3300	55.0
