YEAR,PRECTOT,WS2M,T2MDEW,RH2M,T2M_MAX,T2M_MIN,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_SW_DWN,TS,Productivite (kg/ha),Production (t),surface (ha),Coeff_prod
2019,4.97,1.1,17.26,82.13,25.55,16.57,10,34.52,10000,20.56,3300.0,207900.0,207900.0,0.7857142857142857
2019,1000000,1.41,17.42,84.38,25.83,14.78,20.12,34.71,15.71,20.35,3300.0,207900.0,207900.0,0.7857142857142857
2019,33.56,1.25,18.45,93.91,23.6,15.58,19.48,34.9,12.61,19.36,3300.0,207900.0,207900.0,0.7857142857142857
2019,10.21,1.4,16.44,89.91,22.75,14.91,18.13,35.09,9.27,18.39,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.23,1.17,11.55,74.05,22.58,11.2,16.11,35.27,22.99,16.63,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,0.93,10.45,73.43,21.82,9.72,15.1,35.46,20.61,15.73,3300.0,207900.0,207900.0,0.7857142857142857
2019,1.08,1.92,10.83,81.53,18.3,10.28,13.93,35.64,15.26,14.14,3300.0,207900.0,207900.0,0.7857142857142857
2019,16.27,1.52,13.19,90.28,18.45,11.4,14.78,35.82,5.1,14.92,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.2,1.63,16.35,85.49,24.4,14.23,18.83,36.0,11.47,18.93,3300.0,207900.0,207900.0,0.7857142857142857
2019,16.91,1.12,18.54,88.87,24.64,16.36,20.45,36.17,15.12,20.38,3300.0,207900.0,207900.0,0.7857142857142857
2019,6.88,1.47,18.23,92.3,23.28,17.08,19.53,36.35,13.81,19.48,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.1,2.78,12.91,78.75,22.21,12.23,16.57,36.52,16.57,17.06,3300.0,207900.0,207900.0,0.7857142857142857
2019,1.26,2.27,15.67,82.36,25.39,12.43,18.71,36.69,18.04,19.05,3300.0,207900.0,207900.0,0.7857142857142857
2019,30.85,1.36,16.54,87.95,22.53,13.79,18.58,36.86,4.87,18.78,3300.0,207900.0,207900.0,0.7857142857142857
2019,19.37,1.23,14.29,88.08,21.52,12.33,16.28,37.03,4.44,16.75,3300.0,207900.0,207900.0,0.7857142857142857
2019,2.19,1.51,13.68,83.73,21.77,12.08,16.43,37.19,16.19,16.82,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.11,1.62,15.38,82.38,25.36,11.29,18.41,37.35,16.36,18.86,3300.0,207900.0,207900.0,0.7857142857142857
2019,17.4,1.43,18.47,89.16,25.36,14.86,20.32,37.51,11.34,20.47,3300.0,207900.0,207900.0,0.7857142857142857
2019,16.21,0.68,19.17,93.46,22.97,17.7,20.28,37.67,9.39,20.14,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.21,1.33,14.88,79.87,23.96,14.15,18.38,37.83,22.87,18.63,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.01,1.29,11.47,73.05,22.45,11.49,16.24,37.98,26.17,16.84,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.02,1.54,11.78,74.09,23.2,10.84,16.34,38.13,26.77,16.97,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.06,14.2,76.38,25.03,10.8,18.37,38.28,26.18,18.65,3300.0,207900.0,207900.0,0.7857142857142857
2019,2.11,0.87,15.92,86.11,22.32,15.81,18.28,38.43,11.78,18.42,3300.0,207900.0,207900.0,0.7857142857142857
2019,4.98,2.46,13.22,86.22,18.28,13.02,15.52,38.57,12.5,15.65,3300.0,207900.0,207900.0,0.7857142857142857
2019,2.11,1.69,15.43,83.69,24.79,11.99,18.22,38.71,13.76,18.68,3300.0,207900.0,207900.0,0.7857142857142857
2019,39.45,1.27,17.29,89.84,23.38,15.45,19.0,38.85,3.75,19.12,3300.0,207900.0,207900.0,0.7857142857142857
2019,3.17,2.22,13.83,83.43,20.11,11.14,16.64,38.98,19.13,16.88,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.17,1.09,10.11,72.64,21.53,9.28,14.92,39.12,27.99,15.66,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.59,12.88,75.23,23.48,11.11,17.25,39.25,22.81,17.68,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.65,1.54,16.03,78.07,26.95,12.51,19.92,39.38,27.52,20.24,3300.0,207900.0,207900.0,0.7857142857142857
2019,17.43,1.94,19.25,89.43,24.55,18.3,21.06,39.51,5.92,20.89,3300.0,207900.0,207900.0,0.7857142857142857
2019,5.61,1.01,15.89,83.29,23.02,14.75,18.76,39.66,17.98,18.88,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.88,1.06,16.37,81.31,25.73,13.2,19.63,39.81,20.78,19.88,3300.0,207900.0,207900.0,0.7857142857142857
2019,24.85,1.77,19.09,92.95,23.82,16.32,20.28,39.95,3.97,20.19,3300.0,207900.0,207900.0,0.7857142857142857
2019,1.22,0.81,16.65,78.76,25.97,16.0,20.41,40.09,26.57,20.96,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.66,14.32,74.78,25.7,12.78,18.83,40.23,29.64,19.34,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.04,1.07,15.02,76.56,25.41,12.64,19.18,40.37,27.03,19.54,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.34,1.87,15.45,78.15,24.59,15.37,19.3,40.5,22.12,19.62,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.04,3.11,11.65,72.1,21.95,12.65,16.62,40.63,29.7,17.04,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.07,2.34,14.43,77.39,25.04,11.94,18.4,40.76,27.77,18.74,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.06,1.55,16.25,78.03,26.45,13.59,20.14,40.88,26.43,20.57,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,0.94,16.8,73.93,27.87,15.14,21.56,41.0,29.87,22.02,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.16,17.35,73.76,27.91,16.52,22.17,41.12,23.09,22.24,3300.0,207900.0,207900.0,0.7857142857142857
2019,1.03,1.73,19.55,81.09,27.98,17.37,22.92,41.24,21.24,22.82,3300.0,207900.0,207900.0,0.7857142857142857
2019,13.99,1.57,19.66,92.57,24.63,16.63,20.93,41.35,7.74,20.8,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.27,0.96,13.25,69.1,24.72,13.6,18.95,41.46,31.43,19.03,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.01,1.29,14.78,72.17,27.27,12.88,19.85,41.57,30.75,20.17,3300.0,207900.0,207900.0,0.7857142857142857
2019,2.84,2.34,15.68,74.35,26.92,13.27,20.31,41.67,21.95,20.46,3300.0,207900.0,207900.0,0.7857142857142857
2019,31.23,1.51,17.37,86.47,23.03,15.61,19.69,41.77,6.68,19.68,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.05,1.19,12.02,71.51,24.3,10.86,17.14,41.87,31.53,17.95,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.25,13.46,73.43,25.49,10.94,18.22,41.97,31.36,18.74,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.36,13.18,71.93,25.74,11.29,18.24,42.06,31.54,18.67,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.19,15.37,74.86,26.87,12.49,19.89,42.15,31.0,20.38,3300.0,207900.0,207900.0,0.7857142857142857
2019,13.19,1.81,18.43,84.08,26.65,16.18,21.21,42.24,9.71,21.25,3300.0,207900.0,207900.0,0.7857142857142857
2019,7.59,2.58,16.81,86.43,23.23,15.08,19.13,42.32,10.49,19.34,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.1,0.97,14.7,73.57,26.18,14.07,19.47,42.4,31.3,19.85,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.02,1.61,14.85,73.53,26.31,13.07,19.63,42.48,28.98,20.08,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.55,1.78,14.88,76.05,25.5,14.6,19.14,42.55,26.85,19.3,3300.0,207900.0,207900.0,0.7857142857142857
2019,9.75,1.49,16.99,82.68,24.89,15.57,20.0,42.62,7.85,20.03,3300.0,207900.0,207900.0,0.7857142857142857
2019,5.72,1.45,17.94,82.94,25.62,16.97,20.92,42.69,19.08,21.13,3300.0,207900.0,207900.0,0.7857142857142857
2019,20.78,1.22,18.59,86.55,25.18,16.66,20.91,42.76,13.63,20.83,3300.0,207900.0,207900.0,0.7857142857142857
2019,1.65,1.55,16.91,81.32,24.66,15.31,20.18,42.82,25.96,20.63,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.72,1.39,13.87,78.75,23.13,11.56,17.56,42.88,21.87,18.2,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.03,1.14,10.09,69.63,22.37,9.02,15.55,42.94,31.5,16.01,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.34,8.62,62.44,22.54,9.25,15.7,42.99,33.06,15.3,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.56,11.57,67.55,24.48,9.31,17.55,43.04,29.74,17.21,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.2,13.4,72.07,25.26,11.84,18.45,43.09,30.31,18.8,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.38,11.03,69.36,22.93,10.45,16.58,43.14,26.05,17.21,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.22,8.83,62.8,23.6,8.14,15.83,43.18,33.02,16.52,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.54,10.11,61.06,26.04,9.09,17.62,43.23,31.06,18.14,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.0,1.35,14.06,64.18,28.46,12.1,20.98,43.26,31.81,20.87,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.15,1.17,17.13,66.55,30.43,15.31,23.61,43.3,28.08,23.62,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.55,1.43,17.44,65.47,29.67,17.78,24.2,43.33,23.31,24.2,3300.0,207900.0,207900.0,0.7857142857142857
2019,3.43,1.16,18.66,74.53,29.57,18.15,23.36,43.37,28.39,23.58,3300.0,207900.0,207900.0,0.7857142857142857
2019,0.44,1.33,19.41,68.94,31.1,19.85,25.4,43.39,22.8,25.35,3300.0,207900.0,207900.0,0.7857142857142857
2019,16.2,1.29,19.31,74.13,30.0,19.5,24.11,43.42,13.0,24.29,3300.0,207900.0,207900.0,0.7857142857142857
2019,8.9,1.09,20.39,80.89,28.57,19.79,23.82,43.44,28.01,23.78,3300.0,207900.0,207900.0,0.7857142857142857
2019,3.41,1.1,20.66,81.72,29.02,19.82,23.94,43.46,27.27,23.75,3300.0,207900.0,207900.0,0.7857142857142857
2019,11.81,1.24,20.44,82.71,27.93,18.88,23.51,43.48,15.52,23.41,3300.0,207900.0,207900.0,0.7857142857142857
2019,12.87,1.29,20.51,83.21,27.69,18.64,23.5,43.49,24.39,23.48,3300.0,207900.0,207900.0,0.7857142857142857
