YEAR,PRECTOT,WS2M,T2MDEW,RH2M,T2M_MAX,T2M_MIN,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_SW_DWN,TS,Productivite (kg/ha),Production (t),surface (ha),Coeff_prod
2019,10,1.25,20.95,83.77,28.75,19.8,23.84,33.99,1000,23.7,3200.0,157904.0,157904.0,1.1
2019,31.62,1.85,19.36,91.17,27.04,13.22,20.87,34.19,10.94,20.68,3200.0,157904.0,157904.0,1.1
2019,1.83,1.46,11.58,85.37,18.08,10.23,14.0,34.39,5.4,14.32,3200.0,157904.0,157904.0,1.1
2019,6.05,1.24,12.26,82.72,21.72,10.01,15.16,34.59,13.25,15.52,3200.0,157904.0,157904.0,1.1
2019,0.03,0.95,10.85,74.39,21.89,9.12,15.32,34.79,24.51,15.42,3200.0,157904.0,157904.0,1.1
2019,0.0,1.2,9.27,73.96,19.05,9.15,13.78,34.99,23.72,14.01,3200.0,157904.0,157904.0,1.1
2019,0.1,1.53,10.67,81.16,20.07,8.91,13.83,35.18,23.45,13.98,3200.0,157904.0,157904.0,1.1
2019,0.18,0.87,16.07,82.16,26.78,11.47,19.15,35.37,20.63,19.44,3200.0,157904.0,157904.0,1.1
2019,0.07,0.8,19.65,86.28,28.63,16.58,22.04,35.56,20.57,22.09,3200.0,157904.0,157904.0,1.1
2019,2.59,0.95,21.3,88.53,27.7,18.96,23.3,35.75,7.64,23.03,3200.0,157904.0,157904.0,1.1
2019,6.72,1.99,13.89,87.19,18.79,12.1,16.03,35.94,11.03,15.93,3200.0,157904.0,157904.0,1.1
2019,0.9,2.48,11.68,78.33,21.75,9.64,15.39,36.12,18.13,15.57,3200.0,157904.0,157904.0,1.1
2019,23.05,1.86,17.38,88.11,26.72,13.45,19.4,36.31,8.37,19.45,3200.0,157904.0,157904.0,1.1
2019,0.47,1.25,14.18,81.49,22.61,12.61,17.35,36.49,7.09,17.69,3200.0,157904.0,157904.0,1.1
2019,0.01,1.35,11.74,79.26,22.2,8.99,15.28,36.67,25.06,15.54,3200.0,157904.0,157904.0,1.1
2019,0.0,1.01,12.68,77.39,24.55,9.19,16.61,36.84,26.35,16.8,3200.0,157904.0,157904.0,1.1
2019,0.02,0.85,17.53,81.87,28.87,12.14,20.7,37.02,23.67,20.94,3200.0,157904.0,157904.0,1.1
2019,3.55,0.62,20.42,86.86,29.67,16.21,22.72,37.19,4.94,22.88,3200.0,157904.0,157904.0,1.1
2019,0.8,1.01,20.98,88.77,27.24,18.33,22.93,37.36,12.86,22.81,3200.0,157904.0,157904.0,1.1
2019,0.14,1.88,14.99,78.43,24.38,13.23,18.78,37.53,22.53,18.95,3200.0,157904.0,157904.0,1.1
2019,0.0,1.76,11.05,73.58,22.16,10.53,15.7,37.69,26.74,16.01,3200.0,157904.0,157904.0,1.1
2019,0.0,1.43,13.0,75.61,25.07,10.2,17.29,37.85,26.55,17.59,3200.0,157904.0,157904.0,1.1
2019,0.01,0.71,16.65,76.31,29.02,13.66,20.91,38.01,23.75,21.07,3200.0,157904.0,157904.0,1.1
2019,0.0,1.95,15.17,79.28,23.51,14.18,18.79,38.17,15.29,18.84,3200.0,157904.0,157904.0,1.1
2019,0.03,1.96,14.01,77.63,24.5,11.79,17.93,38.32,25.15,18.18,3200.0,157904.0,157904.0,1.1
2019,0.25,1.05,17.34,82.19,27.18,14.0,20.45,38.48,22.92,20.8,3200.0,157904.0,157904.0,1.1
2019,4.99,1.46,18.01,85.47,26.26,15.96,20.52,38.63,15.65,20.72,3200.0,157904.0,157904.0,1.1
2019,1.45,1.39,14.58,79.38,23.81,13.34,18.17,38.77,18.96,18.58,3200.0,157904.0,157904.0,1.1
2019,0.15,1.11,12.99,77.7,22.57,12.69,16.87,38.94,25.16,17.25,3200.0,157904.0,157904.0,1.1
2019,0.0,1.03,14.86,76.76,26.28,11.59,18.97,39.11,25.21,19.39,3200.0,157904.0,157904.0,1.1
2019,11.06,0.9,18.74,77.58,30.68,14.08,22.79,39.27,26.99,22.94,3200.0,157904.0,157904.0,1.1
2019,12.07,1.16,19.74,91.42,24.04,17.85,21.21,39.44,5.57,21.06,3200.0,157904.0,157904.0,1.1
2019,0.5,1.0,14.77,77.58,24.51,13.34,18.72,39.6,23.22,19.12,3200.0,157904.0,157904.0,1.1
2019,0.11,1.1,15.62,77.21,27.49,11.36,19.67,39.76,28.72,20.0,3200.0,157904.0,157904.0,1.1
2019,21.42,1.34,18.9,88.59,24.24,16.38,20.86,39.92,7.4,20.82,3200.0,157904.0,157904.0,1.1
2019,0.32,1.45,15.37,79.11,24.76,14.41,19.03,40.07,27.79,19.27,3200.0,157904.0,157904.0,1.1
2019,0.0,1.08,17.17,78.02,29.28,12.91,21.09,40.22,29.06,21.39,3200.0,157904.0,157904.0,1.1
2019,0.0,1.23,18.28,83.77,25.93,16.66,21.11,40.37,23.23,21.18,3200.0,157904.0,157904.0,1.1
2019,0.0,2.33,16.47,76.98,26.05,16.71,20.59,40.51,18.63,20.76,3200.0,157904.0,157904.0,1.1
2019,0.0,1.69,16.25,74.53,27.55,14.93,20.87,40.65,29.72,21.01,3200.0,157904.0,157904.0,1.1
2019,0.0,0.99,17.31,72.99,30.32,14.63,22.3,40.79,29.24,22.52,3200.0,157904.0,157904.0,1.1
2019,0.0,1.05,19.81,73.53,31.91,17.56,24.76,40.93,27.43,24.82,3200.0,157904.0,157904.0,1.1
2019,0.0,0.87,20.47,72.04,32.62,18.51,25.78,41.06,21.68,25.9,3200.0,157904.0,157904.0,1.1
2019,0.0,1.03,21.16,73.83,32.41,20.33,26.1,41.19,21.04,26.05,3200.0,157904.0,157904.0,1.1
2019,17.63,1.59,22.36,84.55,29.37,21.41,25.12,41.31,3.7,24.95,3200.0,157904.0,157904.0,1.1
2019,9.13,1.72,16.81,74.17,26.38,15.87,21.52,41.44,24.18,21.51,3200.0,157904.0,157904.0,1.1
2019,0.37,0.76,14.28,65.75,27.69,13.41,20.82,41.56,30.97,20.74,3200.0,157904.0,157904.0,1.1
2019,0.13,1.6,16.06,72.05,27.8,15.05,21.21,41.68,30.99,20.94,3200.0,157904.0,157904.0,1.1
2019,32.23,1.59,19.45,90.85,25.26,16.59,21.02,41.79,5.1,20.88,3200.0,157904.0,157904.0,1.1
2019,3.85,1.32,15.71,82.76,21.88,11.44,18.68,41.9,11.63,18.54,3200.0,157904.0,157904.0,1.1
2019,0.01,1.1,9.32,65.28,22.92,8.19,15.74,42.01,32.22,16.0,3200.0,157904.0,157904.0,1.1
2019,0.01,0.91,13.84,72.37,27.58,8.95,18.83,42.11,31.76,19.05,3200.0,157904.0,157904.0,1.1
2019,0.0,0.71,16.95,70.03,31.85,12.96,22.59,42.21,31.44,22.71,3200.0,157904.0,157904.0,1.1
2019,0.0,0.87,18.5,69.86,32.08,15.68,24.24,42.31,29.42,24.31,3200.0,157904.0,157904.0,1.1
2019,52.77,1.29,20.12,85.02,27.52,19.85,22.75,42.41,7.67,22.72,3200.0,157904.0,157904.0,1.1
2019,28.48,1.62,19.14,82.97,27.47,18.08,22.14,42.5,21.18,22.21,3200.0,157904.0,157904.0,1.1
2019,0.06,0.93,13.38,69.0,25.45,13.63,19.11,42.59,31.95,19.46,3200.0,157904.0,157904.0,1.1
2019,0.0,1.78,12.39,68.33,25.08,11.59,18.24,42.67,30.59,18.36,3200.0,157904.0,157904.0,1.1
2019,4.95,1.93,17.45,85.29,25.98,14.74,19.98,42.75,16.26,20.2,3200.0,157904.0,157904.0,1.1
2019,1.58,0.85,19.63,91.01,25.22,16.81,21.17,42.83,17.51,21.25,3200.0,157904.0,157904.0,1.1
2019,23.22,0.79,21.05,83.69,29.08,20.13,23.95,42.91,24.45,23.97,3200.0,157904.0,157904.0,1.1
2019,9.96,0.9,19.63,77.46,29.41,18.83,23.74,42.98,26.78,23.66,3200.0,157904.0,157904.0,1.1
2019,1.59,1.65,17.63,77.41,26.79,16.12,21.69,43.05,24.84,21.9,3200.0,157904.0,157904.0,1.1
2019,0.22,1.26,10.85,69.28,22.06,11.15,16.41,43.11,28.63,16.96,3200.0,157904.0,157904.0,1.1
2019,0.0,0.86,9.66,62.95,23.42,8.75,16.67,43.18,32.19,16.52,3200.0,157904.0,157904.0,1.1
2019,0.22,1.25,11.4,62.81,25.79,9.64,18.53,43.24,32.35,18.46,3200.0,157904.0,157904.0,1.1
