Annee	surface (ha)	Production (t)	Productivite (kg/ha)	Productivite (sacs/ha)
1974	12000	18000	1500	25.0
1975	9000	13500	1500	25.0
1976	9000	13500	1500	25.0
1977	13361	20042	1500	25.0
1978	23000	27600	1200	20.0
1979	25000	23000	920	15.3
1980	25000	33600	1344	22.4
1981	22000	33000	1500	25.0
1982	22000	26400	1200	20.0
1983	23400	39733	1698	28.3
1984	22000	29700	1350	22.5
1985	21000	34020	1620	27.0
1986	14700	14259	970	16.2
1987	18000	29160	1620	27.0
1988	21000	26460	1250	20.8
1989	10160	14732	1450	24.2
1990	9700	16296	1680	28.0
1991	8500	7395	870	14.5
1992	7000	10500	1500	25.0
1993	5000	10500	2100	35.0
1994	6000	10080	1680	28.0
1995	6000	14040	2340	39.0
1996	4850	9167	1890	31.5
1997	5000	11400	2280	38.0
1998	4000	9120	2280	38.0
1999	5000	11400	2280	38.0
2000	6500	12870	1980	33.0
2001	6500	15600	2400	40.0
2002	9750	23400	2400	40.0
2003	14000	38640	2760	46.0
2004	18375	29988	1632	27.2
2005	19000	15960	840	14.0
2006	25600	60826	2376	39.6
2007	25600	67738	2646	44.1
2008	26000	58916	2266	37.8
2009	26000	70200	2700	45.0
2010	25220	57502	2280	38.0
2011	26000	67600	2600	43.3
2012	28000	42000	1500	25.0
2013	39000	109980	2820	47.0
2014	41000	114800	2800	46.7
2015	44100	132330	3001	50.0
2016	46100	138420	3003	50.1
2017	47000	157974	3361	56.0
2018	49345	157904	3200	53.3
