YEAR,PRECTOT,WS2M,T2MDEW,RH2M,T2M_MAX,T2M_MIN,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_SW_DWN,TS,Productivite (kg/ha),Production (t),surface (ha),Coeff_prod
1984,0.08,1.48,8.7,80.09,18.23,7.62,12.01,34.45,17.64,12.5,1600.0,51200.0,51200.0,0.0
1984,0.0,1.28,9.73,78.91,22.03,6.56,13.4,34.63,26.46,13.8,1600.0,51200.0,51200.0,0.0
1984,0.0,1.47,10.6,76.79,23.18,9.05,14.69,34.85,27.0,15.02,1600.0,51200.0,51200.0,0.0
1984,0.06,1.41,11.63,74.6,24.93,9.45,16.2,35.03,24.59,16.21,1600.0,51200.0,51200.0,0.0
1984,0.23,1.35,13.89,77.69,27.19,9.24,18.06,35.24,20.41,17.92,1600.0,51200.0,51200.0,0.0
1984,3.73,1.46,16.0,77.19,27.43,14.08,20.18,35.42,4.75,19.74,1600.0,51200.0,51200.0,0.0
1984,9.48,1.73,17.34,80.65,27.74,15.2,20.88,35.6,14.87,20.63,1600.0,51200.0,51200.0,0.0
1984,39.0,1.05,15.51,90.42,20.33,12.75,17.23,35.78,7.24,17.11,1600.0,51200.0,51200.0,0.0
1984,1.48,1.55,13.29,83.05,23.2,10.41,16.28,36.0,17.78,16.8,1600.0,51200.0,51200.0,0.0
1984,35.65,1.73,14.58,83.57,23.96,11.61,17.49,36.18,3.06,17.58,1600.0,51200.0,51200.0,0.0
1984,5.19,1.81,15.34,86.54,25.32,13.74,17.69,36.36,10.58,17.75,1600.0,51200.0,51200.0,0.0
1984,0.0,1.01,12.12,76.22,22.84,11.54,16.31,36.54,28.3,16.55,1600.0,51200.0,51200.0,0.0
1984,0.0,1.31,12.66,77.29,24.82,9.76,16.68,36.72,28.76,16.88,1600.0,51200.0,51200.0,0.0
1984,0.0,1.72,11.65,74.18,24.77,9.28,16.39,36.9,25.7,16.54,1600.0,51200.0,51200.0,0.0
1984,0.0,1.19,12.84,77.92,23.49,11.45,16.76,37.08,21.64,16.84,1600.0,51200.0,51200.0,0.0
1984,0.13,0.78,15.61,80.23,26.01,12.54,19.18,37.26,16.27,19.42,1600.0,51200.0,51200.0,0.0
1984,0.0,1.47,15.42,80.04,25.36,13.96,18.95,37.4,25.6,19.27,1600.0,51200.0,51200.0,0.0
1984,0.53,1.1,15.69,78.55,26.92,12.84,19.59,37.58,28.44,19.98,1600.0,51200.0,51200.0,0.0
1984,11.02,1.52,18.06,82.81,27.4,15.09,21.17,37.76,12.56,21.26,1600.0,51200.0,51200.0,0.0
1984,6.78,1.24,16.24,84.1,24.53,13.56,19.09,37.94,17.42,19.39,1600.0,51200.0,51200.0,0.0
1984,0.12,2.11,11.86,77.02,23.61,9.41,16.08,38.09,28.48,16.55,1600.0,51200.0,51200.0,0.0
1984,0.0,1.52,11.92,75.97,24.75,8.75,16.24,38.27,28.69,16.63,1600.0,51200.0,51200.0,0.0
1984,0.0,1.45,12.62,70.1,25.91,9.85,18.22,38.41,28.62,17.82,1600.0,51200.0,51200.0,0.0
1984,0.0,1.29,14.19,78.13,24.64,12.44,18.06,38.59,23.08,17.87,1600.0,51200.0,51200.0,0.0
1984,0.72,0.81,14.88,84.5,22.32,13.13,17.56,38.74,22.07,17.47,1600.0,51200.0,51200.0,0.0
1984,1.49,1.18,16.4,83.05,25.57,14.57,19.38,38.88,17.96,19.76,1600.0,51200.0,51200.0,0.0
1984,0.01,1.33,16.13,79.09,26.8,13.84,19.94,39.02,27.18,20.42,1600.0,51200.0,51200.0,0.0
