YEAR,PRECTOT,WS2M,T2MDEW,RH2M,T2M_MAX,T2M_MIN,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_SW_DWN,TS,Productivite (kg/ha),Production (t),surface (ha),Coeff_prod
1984,0.04,0.78,11.61,81.44,21.53,9.49,14.75,33.91,16.7,15.08,1350.0,29700.0,29700.0,0.0
1984,0.0,1.13,11.75,79.45,23.34,8.13,15.37,34.13,26.14,15.45,1350.0,29700.0,29700.0,0.0
1984,0.02,0.97,14.55,80.75,26.65,9.96,18.03,34.34,25.31,17.97,1350.0,29700.0,29700.0,0.0
1984,0.69,1.08,16.21,79.97,28.25,11.98,19.92,34.52,12.78,19.78,1350.0,29700.0,29700.0,0.0
1984,0.67,1.29,18.02,85.67,26.86,15.25,20.62,34.74,14.11,20.39,1350.0,29700.0,29700.0,0.0
1984,32.64,1.17,16.03,94.04,19.81,14.77,17.11,34.96,4.57,17.1,1350.0,29700.0,29700.0,0.0
1984,1.55,0.8,17.81,94.38,22.04,15.81,18.77,35.14,4.14,18.64,1350.0,29700.0,29700.0,0.0
1984,18.53,1.45,13.42,84.26,20.44,10.65,16.14,35.35,20.88,16.2,1350.0,29700.0,29700.0,0.0
1984,0.15,1.28,10.77,78.5,22.15,7.66,14.59,35.53,22.9,14.84,1350.0,29700.0,29700.0,0.0
1984,7.11,1.64,13.93,87.63,22.56,11.26,16.12,35.75,4.93,16.19,1350.0,29700.0,29700.0,0.0
1984,0.63,1.01,15.22,90.96,22.33,12.95,16.72,35.93,19.33,16.54,1350.0,29700.0,29700.0,0.0
1984,0.0,0.85,14.46,79.62,24.69,12.81,18.03,36.14,27.94,17.98,1350.0,29700.0,29700.0,0.0
1984,0.0,1.33,14.31,79.83,25.69,10.52,17.94,36.32,27.79,17.92,1350.0,29700.0,29700.0,0.0
1984,2.94,1.05,16.6,83.35,26.35,13.72,19.62,36.5,17.1,19.52,1350.0,29700.0,29700.0,0.0
1984,2.59,0.72,17.69,83.31,27.24,16.43,20.69,36.72,8.35,20.61,1350.0,29700.0,29700.0,0.0
1984,0.0,1.02,18.42,82.95,27.71,16.31,21.47,36.9,20.16,21.65,1350.0,29700.0,29700.0,0.0
1984,0.06,1.13,18.97,84.04,28.65,15.62,21.87,37.08,24.23,22.08,1350.0,29700.0,29700.0,0.0
1984,0.08,0.8,20.25,78.54,31.69,16.72,24.31,37.26,26.17,24.33,1350.0,29700.0,29700.0,0.0
1984,22.62,1.49,18.97,90.52,29.19,14.89,20.81,37.44,3.89,20.71,1350.0,29700.0,29700.0,0.0
1984,1.45,1.66,12.1,79.04,21.08,10.88,15.72,37.62,26.86,15.8,1350.0,29700.0,29700.0,0.0
1984,0.0,1.46,12.73,78.37,24.99,9.11,16.65,37.8,27.72,16.74,1350.0,29700.0,29700.0,0.0
1984,0.0,0.82,16.98,80.25,30.15,11.87,20.7,37.98,27.94,20.9,1350.0,29700.0,29700.0,0.0
1984,0.0,1.14,18.16,77.3,30.35,14.71,22.42,38.16,19.12,22.34,1350.0,29700.0,29700.0,0.0
1984,1.45,1.31,17.68,83.91,26.99,15.47,20.55,38.34,10.76,20.39,1350.0,29700.0,29700.0,0.0
1984,0.03,1.63,13.61,77.38,23.77,13.28,17.65,38.52,19.94,17.84,1350.0,29700.0,29700.0,0.0
1984,0.0,1.45,15.2,80.84,26.34,11.27,18.73,38.66,25.92,18.98,1350.0,29700.0,29700.0,0.0
1984,0.01,0.81,19.47,75.95,31.84,15.04,24.19,38.84,25.99,23.9,1350.0,29700.0,29700.0,0.0
1984,5.74,1.07,21.02,81.42,31.49,19.59,24.49,39.02,22.0,24.53,1350.0,29700.0,29700.0,0.0
1984,0.03,0.94,21.0,77.26,32.5,18.19,25.38,39.17,25.24,25.44,1350.0,29700.0,29700.0,0.0
