YEAR,PRECTOT,WS2M,T2MDEW,RH2M,T2M_MAX,T2M_MIN,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_SW_DWN,TS
2019,0.0,1.58,13.41,68.88,27.91,12.09,19.17,34.47,22.99,19.37
2019,0.0,1.74,13.74,63.27,30.89,12.51,20.87,34.66,24.48,20.79
2019,11.36,1.72,16.26,66.71,31.12,14.92,22.65,34.85,16.96,22.53
2019,3.75,1.65,17.98,83.37,25.31,17.1,20.88,35.04,8.82,20.86
2019,5.16,1.48,16.55,78.39,26.0,15.44,20.38,35.23,7.33,20.31
2019,11.24,1.38,16.77,84.55,24.81,16.06,19.43,35.41,4.5,19.81
2019,17.35,1.48,12.85,84.89,19.75,11.83,15.38,35.6,5.09,15.8
2019,0.2,0.94,12.75,75.87,21.92,12.01,16.98,35.78,18.69,17.03
2019,0.02,0.73,12.8,73.26,23.38,12.51,17.57,35.96,22.42,17.38
2019,0.0,0.92,13.08,69.64,26.02,11.43,18.65,36.13,25.64,18.6
2019,0.0,1.18,13.28,65.35,28.02,12.29,19.87,36.31,25.79,19.72
2019,0.0,1.37,14.0,63.09,29.35,12.43,21.2,36.48,25.92,20.65
2019,0.0,1.26,16.18,63.55,31.41,14.85,23.37,36.65,25.3,22.9
2019,2.0,1.25,16.99,62.25,32.09,17.6,24.57,36.82,24.01,24.07
2019,5.65,1.76,18.46,83.59,27.32,14.69,21.33,36.99,10.3,21.4
2019,10.62,2.52,12.18,78.32,21.22,12.36,15.9,37.15,7.25,16.34
2019,6.39,1.85,14.08,80.57,24.05,12.2,17.42,37.32,16.49,17.72
2019,4.31,1.5,17.39,84.15,27.67,14.63,20.13,37.48,15.95,20.35
2019,24.0,1.16,19.2,87.92,26.78,17.22,21.28,37.63,7.07,21.55
2019,0.07,1.05,16.06,78.73,25.93,13.06,19.81,37.79,21.34,20.27
2019,9.46,1.32,13.38,73.73,25.42,12.15,18.07,37.94,19.22,18.45
